




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K4me3_HepG2.intersect_with_G4_seq_Li_K.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K4me3_HepG2.intersect_with_G4_seq_Li_K.genes_uniq.txt (7291)	H3K4me3_HepG2.intersect_with_G4_seq_Li_K.genes_uniq.txt (expected)	H3K4me3_HepG2.intersect_with_G4_seq_Li_K.genes_uniq.txt (over/under)	H3K4me3_HepG2.intersect_with_G4_seq_Li_K.genes_uniq.txt (fold Enrichment)	H3K4me3_HepG2.intersect_with_G4_seq_Li_K.genes_uniq.txt (raw P-value)	H3K4me3_HepG2.intersect_with_G4_seq_Li_K.genes_uniq.txt (FDR)
negative regulation of ERBB signaling pathway (GO:1901185)	53	39	18.76	+	2.08	7.65E-04	2.87E-02
histone acetylation (GO:0016573)	110	74	38.94	+	1.90	3.18E-05	1.73E-03
mitotic G1 DNA damage checkpoint signaling (GO:0031571)	70	46	24.78	+	1.86	1.41E-03	4.75E-02
ATP-dependent chromatin remodeling (GO:0043044)	77	50	27.26	+	1.83	1.12E-03	3.95E-02
internal peptidyl-lysine acetylation (GO:0018393)	116	75	41.07	+	1.83	6.68E-05	3.35E-03
DNA damage response, signal transduction by p53 class mediator (GO:0030330)	79	51	27.97	+	1.82	1.25E-03	4.30E-02
internal protein amino acid acetylation (GO:0006475)	118	76	41.77	+	1.82	7.35E-05	3.66E-03
peptidyl-lysine acetylation (GO:0018394)	119	76	42.13	+	1.80	8.00E-05	3.95E-03
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	111	70	39.30	+	1.78	2.38E-04	1.03E-02
regulation of ERBB signaling pathway (GO:1901184)	94	59	33.28	+	1.77	8.25E-04	3.07E-02
regulation of epidermal growth factor receptor signaling pathway (GO:0042058)	87	54	30.80	+	1.75	1.46E-03	4.87E-02
regulation of TOR signaling (GO:0032006)	100	61	35.40	+	1.72	1.12E-03	3.96E-02
protein acetylation (GO:0006473)	138	84	48.85	+	1.72	1.19E-04	5.56E-03
negative regulation of cell cycle G1/S phase transition (GO:1902807)	115	70	40.71	+	1.72	5.32E-04	2.13E-02
response to UV (GO:0009411)	151	91	53.46	+	1.70	9.00E-05	4.39E-03
protein acylation (GO:0043543)	178	106	63.02	+	1.68	3.19E-05	1.73E-03
positive regulation of intracellular protein transport (GO:0090316)	185	110	65.49	+	1.68	2.46E-05	1.39E-03
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	166	98	58.77	+	1.67	9.92E-05	4.81E-03
mitotic DNA damage checkpoint signaling (GO:0044773)	119	70	42.13	+	1.66	1.12E-03	3.97E-02
regulation of signal transduction by p53 class mediator (GO:1901796)	201	118	71.16	+	1.66	2.11E-05	1.21E-03
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	135	79	47.79	+	1.65	5.52E-04	2.19E-02
liver development (GO:0001889)	138	80	48.85	+	1.64	6.23E-04	2.41E-02
mitotic cell cycle checkpoint signaling (GO:0007093)	159	92	56.29	+	1.63	2.23E-04	9.74E-03
mitotic DNA integrity checkpoint signaling (GO:0044774)	123	71	43.54	+	1.63	1.32E-03	4.52E-02
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	156	90	55.23	+	1.63	3.32E-04	1.40E-02
covalent chromatin modification (GO:0016569)	367	211	129.92	+	1.62	3.25E-08	3.06E-06
hepaticobiliary system development (GO:0061008)	141	81	49.92	+	1.62	7.00E-04	2.67E-02
positive regulation of protein modification by small protein conjugation or removal (GO:1903322)	143	82	50.62	+	1.62	7.56E-04	2.85E-02
histone modification (GO:0016570)	363	208	128.51	+	1.62	4.72E-08	4.24E-06
chromatin remodeling (GO:0006338)	173	99	61.25	+	1.62	1.74E-04	7.79E-03
positive regulation of intracellular transport (GO:0032388)	228	130	80.72	+	1.61	2.08E-05	1.20E-03
regulation of protein ubiquitination (GO:0031396)	213	121	75.41	+	1.60	4.38E-05	2.31E-03
regulation of protein modification by small protein conjugation or removal (GO:1903320)	245	139	86.73	+	1.60	1.38E-05	8.21E-04
peptidyl-lysine modification (GO:0018205)	305	173	107.98	+	1.60	1.21E-06	9.01E-05
negative regulation of mitotic cell cycle phase transition (GO:1901991)	240	136	84.96	+	1.60	1.92E-05	1.11E-03
signal transduction in response to DNA damage (GO:0042770)	167	94	59.12	+	1.59	3.90E-04	1.61E-02
regulation of mitotic cell cycle phase transition (GO:1901990)	434	241	153.64	+	1.57	3.35E-08	3.14E-06
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	222	123	78.59	+	1.57	9.62E-05	4.68E-03
cell cycle checkpoint signaling (GO:0000075)	188	104	66.56	+	1.56	3.67E-04	1.53E-02
negative regulation of mitotic cell cycle (GO:0045930)	294	162	104.08	+	1.56	9.67E-06	6.02E-04
regulation of mitochondrion organization (GO:0010821)	160	88	56.64	+	1.55	1.06E-03	3.80E-02
positive regulation of neuron projection development (GO:0010976)	161	88	57.00	+	1.54	1.38E-03	4.66E-02
regulation of macroautophagy (GO:0016241)	161	88	57.00	+	1.54	1.38E-03	4.65E-02
regulation of proteasomal protein catabolic process (GO:0061136)	187	102	66.20	+	1.54	5.74E-04	2.25E-02
regulation of cell cycle G1/S phase transition (GO:1902806)	178	97	63.02	+	1.54	8.90E-04	3.28E-02
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	338	183	119.66	+	1.53	5.45E-06	3.65E-04
proteasomal protein catabolic process (GO:0010498)	361	195	127.80	+	1.53	2.66E-06	1.87E-04
response to starvation (GO:0042594)	232	125	82.13	+	1.52	2.07E-04	9.13E-03
mitotic nuclear division (GO:0140014)	201	108	71.16	+	1.52	5.48E-04	2.18E-02
endosomal transport (GO:0016197)	235	126	83.19	+	1.51	2.25E-04	9.75E-03
positive regulation of protein catabolic process (GO:0045732)	237	127	83.90	+	1.51	2.37E-04	1.03E-02
negative regulation of protein kinase activity (GO:0006469)	241	129	85.32	+	1.51	2.11E-04	9.28E-03
regulation of cellular protein catabolic process (GO:1903362)	256	137	90.63	+	1.51	1.29E-04	5.99E-03
response to endoplasmic reticulum stress (GO:0034976)	260	139	92.04	+	1.51	1.15E-04	5.42E-03
double-strand break repair (GO:0006302)	204	109	72.22	+	1.51	7.36E-04	2.79E-02
autophagy (GO:0006914)	309	165	109.39	+	1.51	2.92E-05	1.61E-03
process utilizing autophagic mechanism (GO:0061919)	309	165	109.39	+	1.51	2.92E-05	1.61E-03
positive regulation of cellular protein localization (GO:1903829)	306	163	108.33	+	1.50	3.37E-05	1.82E-03
negative regulation of cell cycle process (GO:0010948)	368	196	130.28	+	1.50	5.01E-06	3.40E-04
protein autophosphorylation (GO:0046777)	188	100	66.56	+	1.50	1.18E-03	4.11E-02
cellular response to starvation (GO:0009267)	190	101	67.26	+	1.50	1.24E-03	4.28E-02
negative regulation of cell cycle phase transition (GO:1901988)	294	156	104.08	+	1.50	5.94E-05	3.01E-03
regulation of protein binding (GO:0043393)	196	104	69.39	+	1.50	1.16E-03	4.05E-02
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	212	112	75.05	+	1.49	7.30E-04	2.77E-02
macroautophagy (GO:0016236)	199	105	70.45	+	1.49	1.25E-03	4.30E-02
DNA repair (GO:0006281)	531	280	187.98	+	1.49	8.01E-08	6.85E-06
regulation of mitotic cell cycle (GO:0007346)	588	310	208.16	+	1.49	1.59E-08	1.58E-06
regulation of cell cycle G2/M phase transition (GO:1902749)	222	117	78.59	+	1.49	6.06E-04	2.36E-02
negative regulation of kinase activity (GO:0033673)	264	139	93.46	+	1.49	1.97E-04	8.72E-03
chromatin organization (GO:0006325)	703	370	248.87	+	1.49	7.79E-10	9.19E-08
protein-containing complex disassembly (GO:0032984)	228	120	80.72	+	1.49	5.64E-04	2.22E-02
cell division (GO:0051301)	498	262	176.30	+	1.49	2.46E-07	1.96E-05
cellular response to DNA damage stimulus (GO:0006974)	793	417	280.74	+	1.49	6.04E-11	7.96E-09
ubiquitin-dependent protein catabolic process (GO:0006511)	545	286	192.94	+	1.48	8.94E-08	7.56E-06
mitotic cell cycle process (GO:1903047)	675	354	238.96	+	1.48	2.23E-09	2.46E-07
modification-dependent macromolecule catabolic process (GO:0043632)	563	295	199.31	+	1.48	5.89E-08	5.20E-06
regulation of neuron apoptotic process (GO:0043523)	210	110	74.34	+	1.48	1.07E-03	3.81E-02
modification-dependent protein catabolic process (GO:0019941)	552	289	195.42	+	1.48	8.56E-08	7.28E-06
regulation of intracellular protein transport (GO:0033157)	256	134	90.63	+	1.48	3.09E-04	1.31E-02
regulation of cell cycle phase transition (GO:1901987)	522	273	184.80	+	1.48	2.27E-07	1.82E-05
regulation of autophagy (GO:0010506)	331	173	117.18	+	1.48	4.08E-05	2.16E-03
regulation of protein catabolic process (GO:0042176)	398	208	140.90	+	1.48	6.80E-06	4.39E-04
negative regulation of cell cycle (GO:0045786)	454	237	160.72	+	1.47	1.65E-06	1.19E-04
negative regulation of organelle organization (GO:0010639)	334	174	118.24	+	1.47	4.38E-05	2.30E-03
positive regulation of catabolic process (GO:0009896)	519	270	183.74	+	1.47	3.96E-07	3.01E-05
regulation of response to DNA damage stimulus (GO:2001020)	223	116	78.95	+	1.47	9.52E-04	3.47E-02
regulation of canonical Wnt signaling pathway (GO:0060828)	298	155	105.50	+	1.47	1.25E-04	5.82E-03
negative regulation of cellular amide metabolic process (GO:0034249)	206	107	72.93	+	1.47	1.50E-03	4.98E-02
regulation of mRNA catabolic process (GO:0061013)	252	130	89.21	+	1.46	6.49E-04	2.50E-02
negative regulation of protein phosphorylation (GO:0001933)	353	182	124.97	+	1.46	4.47E-05	2.34E-03
protein polyubiquitination (GO:0000209)	325	167	115.06	+	1.45	1.22E-04	5.72E-03
regulation of DNA metabolic process (GO:0051052)	372	191	131.69	+	1.45	3.65E-05	1.96E-03
mitotic cell cycle (GO:0000278)	750	385	265.51	+	1.45	3.34E-09	3.67E-07
positive regulation of cellular catabolic process (GO:0031331)	450	231	159.31	+	1.45	5.17E-06	3.50E-04
cellular response to nutrient levels (GO:0031669)	240	123	84.96	+	1.45	1.13E-03	3.97E-02
cellular protein catabolic process (GO:0044257)	644	330	227.99	+	1.45	5.51E-08	4.89E-06
peptidyl-amino acid modification (GO:0018193)	886	454	313.66	+	1.45	1.34E-10	1.71E-08
regulation of cellular catabolic process (GO:0031329)	899	460	318.26	+	1.45	1.17E-10	1.51E-08
proteolysis involved in cellular protein catabolic process (GO:0051603)	609	311	215.60	+	1.44	1.61E-07	1.33E-05
regulation of mRNA stability (GO:0043488)	241	123	85.32	+	1.44	1.16E-03	4.03E-02
regulation of RNA stability (GO:0043487)	253	129	89.57	+	1.44	9.95E-04	3.61E-02
